Jumlah_Terjual,Harga_Satuan,Total_Penjualan,Tahun,Bulan,Hari,Kategori_Makanan,Kategori_Minuman,Kategori_Snack,Metode_Pembayaran_E-Wallet,Metode_Pembayaran_QRIS,Metode_Pembayaran_Transfer Bank,Channel_Penjualan_Offline Store,Channel_Penjualan_Shopee,Channel_Penjualan_Tokopedia,Channel_Penjualan_WhatsApp,Kategori_Volume_Sedang,Kategori_Volume_Banyak
-1.5766672930770564,-0.7676251412707763,15253.0,2024,1,1,True,False,False,False,False,True,False,True,False,False,False,False
-1.2264635548745522,-0.8715011471646387,28934.0,2024,1,1,False,False,True,False,True,False,True,False,False,False,False,False
-1.5766672930770564,-0.6366567928727895,16244.0,2024,1,1,False,True,False,False,True,False,False,True,False,False,False,False
1.2249626125429778,0.5113977404605212,224379.0,2024,1,1,False,True,False,False,True,False,True,False,False,False,False,True
1.2249626125429778,0.31382187683288226,210924.0,2024,1,1,False,True,False,False,False,True,False,False,False,False,False,True
-0.17585234026703933,-0.39758338999493076,90265.0,2024,1,1,False,True,False,False,False,True,False,False,False,False,True,False
-0.17585234026703933,1.0852267704747074,146365.0,2024,1,1,True,False,False,False,False,True,False,False,False,True,True,False
-1.2264635548745522,-0.6541016182900794,32224.0,2024,1,1,True,False,False,False,True,False,False,False,False,True,False,False
1.575166350745482,1.2032436575780396,301660.0,2024,1,1,True,False,False,False,True,False,False,False,False,False,False,True
-1.2264635548745522,-1.316476353073843,22200.0,2024,1,1,False,False,True,False,True,False,True,False,False,False,False,False
1.575166350745482,0.6476523995910201,259620.0,2024,1,1,True,False,False,False,False,True,False,False,True,False,False,True
-0.5260560784695436,-0.3556893774397725,73480.0,2024,1,1,True,False,False,False,True,False,False,True,False,False,True,False
0.5245551361379692,-0.7644533548312691,106939.0,2024,1,1,True,False,False,True,False,False,False,False,False,True,True,False
0.17435139793546492,-1.0772707924276714,77460.0,2024,1,1,False,False,True,False,False,True,False,False,False,True,True,False
1.575166350745482,-0.8802235598732836,144010.0,2024,1,1,True,False,False,False,False,True,False,True,False,False,False,True
-0.17585234026703933,-0.06599954929811061,102810.0,2024,1,2,False,True,False,False,False,True,False,False,False,True,True,False
-0.5260560784695436,-0.6342779530431591,65048.0,2024,1,2,True,False,False,False,False,False,False,False,False,False,True,False
-1.2264635548745522,0.4845697134930224,49456.0,2024,1,2,True,False,False,False,False,False,False,True,False,False,False,False
0.5245551361379692,2.0744276662960304,257306.0,2024,1,2,False,False,False,False,False,True,False,False,False,True,True,False
-0.5260560784695436,-0.8541884795156616,58392.0,2024,1,2,False,False,True,False,False,False,True,False,False,False,True,False
1.575166350745482,-0.23661522818993797,192710.0,2024,1,2,False,True,False,False,False,False,False,True,False,False,False,True
1.2249626125429778,-0.9276681986975795,126378.0,2024,1,2,False,False,True,False,True,False,False,False,True,False,False,True
-0.8762598166720479,-0.8922499167897486,42930.0,2024,1,2,True,False,False,True,False,False,True,False,False,False,False,False
0.5245551361379692,-0.6522514095337002,112882.0,2024,1,2,True,False,False,True,False,False,True,False,False,False,True,False
1.2249626125429778,0.268623920069904,207846.0,2024,1,2,True,False,False,False,True,False,True,False,False,False,False,True
0.17435139793546492,0.3768611323180888,143478.0,2024,1,2,True,False,False,False,False,False,False,False,False,False,True,False
0.8747588743404735,-1.4584137962417922,80208.0,2024,1,2,False,False,True,False,False,False,True,False,False,False,False,True
-1.2264635548745522,-1.403171849087041,20888.0,2024,1,3,False,False,True,False,False,True,False,True,False,False,False,False
-0.8762598166720479,1.5008629518184697,97254.0,2024,1,3,True,False,False,False,True,False,True,False,False,False,False,False
0.8747588743404735,0.938003016574246,225272.0,2024,1,3,True,False,False,False,True,False,False,False,False,True,False,True
-0.5260560784695436,0.31884387202876874,93896.0,2024,1,3,True,False,False,False,False,True,True,False,False,False,True,False
-1.2264635548745522,-0.5392565176262545,33962.0,2024,1,3,True,False,False,False,True,False,True,False,False,False,False,False
-0.8762598166720479,-0.947359706176187,41679.0,2024,1,3,False,False,True,False,False,True,False,False,False,True,False,False
